Time,BS,CellName,load,ESMode1,ESMode2,ESMode3,ESMode4,ESMode5,ESMode6
1/1/2023 1:00,B_0,Cell0,0.48793617,0,0,0,0,0,0
1/1/2023 2:00,B_0,Cell0,0.344468085,0,0,0,0,0,0
1/1/2023 3:00,B_0,Cell0,0.193765957,0,0,0,0,0,0
1/1/2023 4:00,B_0,Cell0,0.222382979,0,0,0,0,0,0
1/1/2023 5:00,B_0,Cell0,0.17543617,0,0,0,0,0,0
1/1/2023 6:00,B_0,Cell0,0.18987234,0,0,0,0,0,0
1/1/2023 7:00,B_0,Cell0,0.351585106,0,0,0,0,0,0
1/1/2023 8:00,B_0,Cell0,0.759297872,0,0,0,0,0,0
1/1/2023 9:00,B_0,Cell0,0.887797872,0,0,0,0,0,0
1/1/2023 10:00,B_0,Cell0,0.624744681,0,0,0,0,0,0
1/1/2023 11:00,B_0,Cell0,0.522095745,0,0,0,0,0,0
1/1/2023 12:00,B_0,Cell0,0.439968085,0,0,0,0,0,0
1/1/2023 13:00,B_0,Cell0,0.482723404,0,0,0,0,0,0
1/1/2023 14:00,B_0,Cell0,0.437925532,0,0,0,0,0,0
1/1/2023 15:00,B_0,Cell0,0.403457447,0,0,0,0,0,0
1/1/2023 16:00,B_0,Cell0,0.428989362,0,0,0,0,0,0
1/1/2023 17:00,B_0,Cell0,0.5535,0,0,0,0,0,0
1/1/2023 18:00,B_0,Cell0,0.870180851,0,0,0,0,0,0
1/1/2023 19:00,B_0,Cell0,0.869765957,0,0,0,0,0,0
1/1/2023 20:00,B_0,Cell0,0.782329787,0,0,0,0,0,0
1/1/2023 21:00,B_0,Cell0,0.651031915,0,0,0,0,0,0
1/1/2023 22:00,B_0,Cell0,0.660244681,0,0,0,0,0,0
1/1/2023 23:00,B_0,Cell0,0.782510638,0,0,0,0,0,0
1/2/2023 0:00,B_0,Cell0,0.785202128,0,0,0,0,0,0
1/2/2023 1:00,B_0,Cell0,0.667010638,0,0,0,0,0,0
1/2/2023 2:00,B_0,Cell0,0.335904255,0,0,0,0,0,0
1/2/2023 3:00,B_0,Cell0,0.196170213,0,0,0,0,0,0
1/2/2023 4:00,B_0,Cell0,0.213531915,0,0,0,0,0,0
1/2/2023 5:00,B_0,Cell0,0.190861702,0,0,0,0,0,0
1/2/2023 6:00,B_0,Cell0,0.197031915,0,0,0,0,0,0
1/2/2023 7:00,B_0,Cell0,0.40443617,0,0,0,0,0,0
1/2/2023 8:00,B_0,Cell0,0.781287234,0,0,0,0,0,0
1/2/2023 9:00,B_0,Cell0,0.863319149,0,0,0,0,0,0
1/2/2023 10:00,B_0,Cell0,0.650468085,0,0,0,0,0,0
1/2/2023 11:00,B_0,Cell0,0.498287234,0,0,0,0,0,0
1/2/2023 12:00,B_0,Cell0,0.603361702,0,0,0,0,0,0
1/2/2023 13:00,B_0,Cell0,0.488595745,0,0,0,0,0,0
1/2/2023 14:00,B_0,Cell0,0.530521277,0,0,0,0,0,0
1/2/2023 15:00,B_0,Cell0,0.615053191,0,0,0,0,0,0
1/2/2023 16:00,B_0,Cell0,0.499712766,0,0,0,0,0,0
1/2/2023 17:00,B_0,Cell0,0.672829787,0,0,0,0,0,0
1/2/2023 18:00,B_0,Cell0,0.804021277,0,0,0,0,0,0
1/2/2023 19:00,B_0,Cell0,0.859319149,0,0,0,0,0,0
1/2/2023 20:00,B_0,Cell0,0.697978723,0,0,0,0,0,0
1/2/2023 21:00,B_0,Cell0,0.647638298,0,0,0,0,0,0
1/2/2023 22:00,B_0,Cell0,0.710776596,0,0,0,0,0,0
1/2/2023 23:00,B_0,Cell0,0.857361702,0,0,0,0,0,0
1/3/2023 0:00,B_0,Cell0,0.735914894,0,0,0,0,0,0
1/3/2023 1:00,B_0,Cell0,0.524085106,0,0,0,0,0,0
1/3/2023 2:00,B_0,Cell0,0.388031915,0,0,0,0,0,0
1/3/2023 3:00,B_0,Cell0,0.288095745,0,0,0,0,0,0
1/3/2023 4:00,B_0,Cell0,0.218287234,0,0,0,0,0,0
1/3/2023 5:00,B_0,Cell0,0.137925532,0,0,0,0,0,0
1/3/2023 6:00,B_0,Cell0,0.152574468,0,0,0,0,0,0
1/3/2023 7:00,B_0,Cell0,0.304819149,0,0,0,0,0,0
1/3/2023 8:00,B_0,Cell0,0.461553191,0,0,0,0,0,0
1/3/2023 9:00,B_0,Cell0,0.565914894,0,0,0,0,0,0
1/3/2023 10:00,B_0,Cell0,0.608712766,0,0,0,0,0,0
1/3/2023 11:00,B_0,Cell0,0.563180851,0,0,0,0,0,0
1/3/2023 12:00,B_0,Cell0,0.594,0,0,0,0,0,0
1/3/2023 13:00,B_0,Cell0,0.646446809,0,0,0,0,0,0
1/3/2023 14:00,B_0,Cell0,0.569723404,0,0,0,0,0,0
1/3/2023 15:00,B_0,Cell0,0.547106383,0,0,0,0,0,0
1/3/2023 16:00,B_0,Cell0,0.563361702,0,0,0,0,0,0
1/3/2023 17:00,B_0,Cell0,0.610382979,0,0,0,0,0,0
1/3/2023 18:00,B_0,Cell0,0.777351064,0,0,0,0,0,0
1/3/2023 19:00,B_0,Cell0,0.803765957,0,0,0,0,0,0
1/3/2023 20:00,B_0,Cell0,0.681085106,0,0,0,0,0,0
1/3/2023 21:00,B_0,Cell0,0.714510638,0,0,0,0,0,0
1/3/2023 22:00,B_0,Cell0,0.857829787,0,0,0,0,0,0
1/3/2023 23:00,B_0,Cell0,0.833202128,0,0,0,0,0,0
1/4/2023 0:00,B_0,Cell0,0.760776596,0,0,0,0,0,0
1/4/2023 1:00,B_0,Cell0,0.502840426,0,0,0,0,0,0
1/4/2023 2:00,B_0,Cell0,0.360893617,0,0,0,0,0,0
1/4/2023 3:00,B_0,Cell0,0.27387234,0,0,0,0,0,0
1/4/2023 5:00,B_0,Cell0,0.151606383,0,0,0,0,0,0
1/4/2023 6:00,B_0,Cell0,0.21662766,0,0,0,0,0,0
1/4/2023 7:00,B_0,Cell0,0.217531915,0,0,0,0,0,0
1/4/2023 8:00,B_0,Cell0,0.319361702,0,0,0,0,0,0
1/4/2023 9:00,B_0,Cell0,0.396521277,0,0,0,0,0,0
1/4/2023 10:00,B_0,Cell0,0.547265957,0,0,0,0,0,0
1/4/2023 11:00,B_0,Cell0,0.555723404,0,0,0,0,0,0
1/4/2023 12:00,B_0,Cell0,0.638425532,0,0,0,0,0,0
1/4/2023 13:00,B_0,Cell0,0.659574468,0,0,0,0,0,0
1/4/2023 14:00,B_0,Cell0,0.664861702,0,0,0,0,0,0
1/4/2023 15:00,B_0,Cell0,0.592212766,0,0,0,0,0,0
1/4/2023 16:00,B_0,Cell0,0.558925532,0,0,0,0,0,0
1/4/2023 17:00,B_0,Cell0,0.560542553,0,0,0,0,0,0
1/4/2023 18:00,B_0,Cell0,0.61387234,0,0,0,0,0,0
1/4/2023 19:00,B_0,Cell0,0.602382979,0,0,0,0,0,0
1/4/2023 20:00,B_0,Cell0,0.682010638,0,0,0,0,0,0
1/4/2023 21:00,B_0,Cell0,0.696648936,0,0,0,0,0,0
1/4/2023 22:00,B_0,Cell0,0.842457447,0,0,0,0,0,0
1/4/2023 23:00,B_0,Cell0,0.810180851,0,0,0,0,0,0
1/5/2023 0:00,B_0,Cell0,0.750308511,0,0,0,0,0,0
1/5/2023 1:00,B_0,Cell0,0.493989362,0,0,0,0,0,0
1/5/2023 2:00,B_0,Cell0,0.471776596,0,0,0,0,0,0
1/5/2023 3:00,B_0,Cell0,0.188957447,0,0,0,0,0,0
1/5/2023 6:00,B_0,Cell0,0.116212766,0,0,0,0,0,0
1/5/2023 10:00,B_0,Cell0,0.628808511,0,0,0,0,0,0
1/5/2023 11:00,B_0,Cell0,0.484414894,0,0,0,0,0,0
1/5/2023 12:00,B_0,Cell0,0.467095745,0,0,0,0,0,0
1/5/2023 13:00,B_0,Cell0,0.461861702,0,0,0,0,0,0
1/5/2023 16:00,B_0,Cell0,0.427468085,0,0,0,0,0,0
1/5/2023 17:00,B_0,Cell0,0.542117021,0,0,0,0,0,0
1/5/2023 18:00,B_0,Cell0,0.748521277,0,0,0,0,0,0
1/5/2023 19:00,B_0,Cell0,0.848223404,0,0,0,0,0,0
1/5/2023 20:00,B_0,Cell0,0.735734043,0,0,0,0,0,0
1/5/2023 21:00,B_0,Cell0,0.71637234,0,0,0,0,0,0
1/5/2023 23:00,B_0,Cell0,0.741765957,0,0,0,0,0,0
1/6/2023 0:00,B_0,Cell0,0.653223404,0,0,0,0,0,0
1/6/2023 3:00,B_0,Cell0,0.186117021,0,0,0,0,0,0
1/6/2023 4:00,B_0,Cell0,0.174638298,0,0,0,0,0,0
1/6/2023 5:00,B_0,Cell0,0.119542553,0,0,0,0,0,0
1/6/2023 6:00,B_0,Cell0,0.146521277,0,0,0,0,0,0
1/6/2023 7:00,B_0,Cell0,0.317244681,0,0,0,0,0,0
1/6/2023 9:00,B_0,Cell0,0.850031915,0,0,0,0,0,0
1/6/2023 10:00,B_0,Cell0,0.613840426,0,0,0,0,0,0
1/6/2023 11:00,B_0,Cell0,0.620670213,0,0,0,0,0,0
1/6/2023 15:00,B_0,Cell0,0.447840426,0,0,0,0,0,0
1/6/2023 16:00,B_0,Cell0,0.457297872,0,0,0,0,0,0
1/6/2023 17:00,B_0,Cell0,0.547021277,0,0,0,0,0,0
1/6/2023 18:00,B_0,Cell0,0.702255319,0,0,0,0,0,0
1/6/2023 19:00,B_0,Cell0,0.835542553,0,0,0,0,0,0
1/6/2023 20:00,B_0,Cell0,0.742882979,0,0,0,0,0,0
1/6/2023 22:00,B_0,Cell0,0.693,0,0,0,0,0,0
1/7/2023 6:00,B_0,Cell0,0.16956383,0,0,0,0,0,0
1/7/2023 9:00,B_0,Cell0,0.826404255,0,0,0,0,0,0
1/7/2023 10:00,B_0,Cell0,0.585989362,0,0,0,0,0,0
1/7/2023 15:00,B_0,Cell0,0.462776596,0,0,0,0,0,0
1/7/2023 17:00,B_0,Cell0,0.542659574,0,0,0,0,0,0
1/7/2023 23:00,B_0,Cell0,0.750819149,0,0,0,0,0,0
1/1/2023 1:00,B_1,Cell0,0.03477,0,0,0,0,0,0
1/1/2023 2:00,B_1,Cell0,0.05709,0,0,0,0,0,0
1/1/2023 3:00,B_1,Cell0,0.03788,0,0,0,0,0,0
1/1/2023 4:00,B_1,Cell0,0.05517,0,0,0,0,0,0
1/1/2023 5:00,B_1,Cell0,0.01864,0,0,0,0,0,0
1/1/2023 6:00,B_1,Cell0,0.01075,0,0,0,0,0,0
1/1/2023 7:00,B_1,Cell0,0.01618,0,0,0,0,0,0
1/1/2023 8:00,B_1,Cell0,0.03033,0,0,0,0,0,0
1/1/2023 9:00,B_1,Cell0,0.01524,0,0,0,0,0,0
1/1/2023 10:00,B_1,Cell0,0.02809,0,0,0,0,0,0
1/1/2023 11:00,B_1,Cell0,0.12346,0,0,0,0,0,0
1/1/2023 12:00,B_1,Cell0,0.05386,0,0,0,0,0,0
1/1/2023 13:00,B_1,Cell0,0.04682,0,0,0,0,0,0
1/1/2023 14:00,B_1,Cell0,0.04255,0,0,0,0,0,0
1/1/2023 15:00,B_1,Cell0,0.01953,0,0,0,0,0,0
1/1/2023 16:00,B_1,Cell0,0.03742,0,0,0,0,0,0
1/1/2023 17:00,B_1,Cell0,0.05198,0,0,0,0,0,0
1/1/2023 18:00,B_1,Cell0,0.04388,0,0,0,0,0,0
1/1/2023 19:00,B_1,Cell0,0.05424,0,0,0,0,0,0
1/1/2023 20:00,B_1,Cell0,0.04428,0,0,0,0,0,0
1/1/2023 21:00,B_1,Cell0,0.02556,0,0,0,0,0,0
1/1/2023 22:00,B_1,Cell0,0.03628,0,0,0,0,0,0
1/1/2023 23:00,B_1,Cell0,0.04565,0,0,0,0,0,0
1/2/2023 0:00,B_1,Cell0,0.0532,0,0,0,0,0,0
1/2/2023 1:00,B_1,Cell0,0.05558,0,0,0,0,0,0
1/2/2023 2:00,B_1,Cell0,0.03034,0,0,0,0,0,0
1/2/2023 3:00,B_1,Cell0,0.01944,0,0,0,0,0,0
1/2/2023 4:00,B_1,Cell0,0.01053,0,0,0,0,0,0
1/2/2023 5:00,B_1,Cell0,0.00996,0,0,0,0,0,0
1/2/2023 6:00,B_1,Cell0,0.01044,0,0,0,0,0,0
1/2/2023 7:00,B_1,Cell0,0.04142,0,0,0,0,0,0
1/2/2023 8:00,B_1,Cell0,0.05571,0,0,0,0,0,0
1/2/2023 9:00,B_1,Cell0,0.05459,0,0,0,0,0,0
1/2/2023 10:00,B_1,Cell0,0.04757,0,0,0,0,0,0
1/2/2023 11:00,B_1,Cell0,0.0212,0,0,0,0,0,0
1/2/2023 12:00,B_1,Cell0,0.02383,0,0,0,0,0,0
1/2/2023 13:00,B_1,Cell0,0.0258,0,0,0,0,0,0
1/2/2023 14:00,B_1,Cell0,0.02888,0,0,0,0,0,0
1/2/2023 15:00,B_1,Cell0,0.02547,0,0,0,0,0,0
1/2/2023 16:00,B_1,Cell0,0.025,0,0,0,0,0,0
1/2/2023 17:00,B_1,Cell0,0.01941,0,0,0,0,0,0
1/2/2023 18:00,B_1,Cell0,0.02684,0,0,0,0,0,0
1/2/2023 19:00,B_1,Cell0,0.0335,0,0,0,0,0,0
1/2/2023 20:00,B_1,Cell0,0.05778,0,0,0,0,0,0
1/2/2023 21:00,B_1,Cell0,0.04152,0,0,0,0,0,0
1/2/2023 22:00,B_1,Cell0,0.02798,0,0,0,0,0,0
1/2/2023 23:00,B_1,Cell0,0.0408,0,0,0,0,0,0
1/3/2023 0:00,B_1,Cell0,0.03554,0,0,0,0,0,0
1/3/2023 1:00,B_1,Cell0,0.04013,0,0,0,0,0,0
1/3/2023 2:00,B_1,Cell0,0.02055,0,0,0,0,0,0
1/3/2023 3:00,B_1,Cell0,0.02351,0,0,0,0,0,0
1/3/2023 4:00,B_1,Cell0,0.01985,0,0,0,0,0,0
1/3/2023 5:00,B_1,Cell0,0.01348,0,0,0,0,0,0
1/3/2023 6:00,B_1,Cell0,0.01147,0,0,0,0,0,0
1/3/2023 7:00,B_1,Cell0,0.0108,0,0,0,0,0,0
1/3/2023 8:00,B_1,Cell0,0.04897,0,0,0,0,0,0
1/3/2023 9:00,B_1,Cell0,0.078,0,0,0,0,0,0
1/3/2023 10:00,B_1,Cell0,0.01806,0,0,0,0,0,0
1/3/2023 11:00,B_1,Cell0,0.0299,0,0,0,0,0,0
1/3/2023 12:00,B_1,Cell0,0.02491,0,0,0,0,0,0
1/3/2023 13:00,B_1,Cell0,0.02177,0,0,0,0,0,0
1/3/2023 14:00,B_1,Cell0,0.02608,0,0,0,0,0,0
1/3/2023 15:00,B_1,Cell0,0.05232,0,0,0,0,0,0
1/3/2023 16:00,B_1,Cell0,0.0546,0,0,0,0,0,0
1/3/2023 17:00,B_1,Cell0,0.05498,0,0,0,0,0,0
1/3/2023 18:00,B_1,Cell0,0.05776,0,0,0,0,0,0
1/3/2023 19:00,B_1,Cell0,0.03952,0,0,0,0,0,0
1/3/2023 20:00,B_1,Cell0,0.02086,0,0,0,0,0,0
1/3/2023 21:00,B_1,Cell0,0.05496,0,0,0,0,0,0
1/3/2023 22:00,B_1,Cell0,0.0702,0,0,0,0,0,0
1/3/2023 23:00,B_1,Cell0,0.05585,0,0,0,0,0,0
1/4/2023 0:00,B_1,Cell0,0.03639,0,0,0,0,0,0
1/4/2023 1:00,B_1,Cell0,0.07751,0,0,0,0,0,0
1/4/2023 2:00,B_1,Cell0,0.07411,0,0,0,0,0,0
1/4/2023 3:00,B_1,Cell0,0.05972,0,0,0,0,0,0
1/4/2023 5:00,B_1,Cell0,0.01117,0,0,0,0,0,0
1/4/2023 6:00,B_1,Cell0,0.01315,0,0,0,0,0,0
1/4/2023 7:00,B_1,Cell0,0.01023,0,0,0,0,0,0
1/4/2023 8:00,B_1,Cell0,0.03228,0,0,0,0,0,0
1/4/2023 9:00,B_1,Cell0,0.03079,0,0,0,0,0,0
1/4/2023 10:00,B_1,Cell0,0.03079,0,0,0,0,0,0
1/4/2023 11:00,B_1,Cell0,0.02481,0,0,0,0,0,0
1/4/2023 12:00,B_1,Cell0,0.02181,0,0,0,0,0,0
1/4/2023 13:00,B_1,Cell0,0.04849,0,0,0,0,0,0
1/4/2023 14:00,B_1,Cell0,0.03439,0,0,0,0,0,0
1/4/2023 15:00,B_1,Cell0,0.04458,0,0,0,0,0,0
1/4/2023 16:00,B_1,Cell0,0.06763,0,0,0,0,0,0
1/4/2023 17:00,B_1,Cell0,0.04056,0,0,0,0,0,0
1/4/2023 18:00,B_1,Cell0,0.03832,0,0,0,0,0,0
1/4/2023 19:00,B_1,Cell0,0.02658,0,0,0,0,0,0
1/4/2023 20:00,B_1,Cell0,0.03683,0,0,0,0,0,0
1/4/2023 21:00,B_1,Cell0,0.03035,0,0,0,0,0,0
1/4/2023 22:00,B_1,Cell0,0.05687,0,0,0,0,0,0
1/4/2023 23:00,B_1,Cell0,0.05901,0,0,0,0,0,0
1/5/2023 0:00,B_1,Cell0,0.10912,0,0,0,0,0,0
1/5/2023 1:00,B_1,Cell0,0.09952,0,0,0,0,0,0
1/5/2023 2:00,B_1,Cell0,0.02489,0,0,0,0,0,0
1/5/2023 3:00,B_1,Cell0,0.02199,0,0,0,0,0,0
1/5/2023 6:00,B_1,Cell0,0.01106,0,0,0,0,0,0
1/5/2023 10:00,B_1,Cell0,0.04835,0,0,0,0,0,0
1/5/2023 11:00,B_1,Cell0,0.0376,0,0,0,0,0,0
1/5/2023 12:00,B_1,Cell0,0.06234,0,0,0,0,0,0
1/5/2023 13:00,B_1,Cell0,0.03923,0,0,0,0,0,0
1/5/2023 16:00,B_1,Cell0,0.04257,0,0,0,0,0,0
1/5/2023 17:00,B_1,Cell0,0.03149,0,0,0,0,0,0
1/5/2023 18:00,B_1,Cell0,0.05113,0,0,0,0,0,0
1/5/2023 19:00,B_1,Cell0,0.01909,0,0,0,0,0,0
1/5/2023 20:00,B_1,Cell0,0.02898,0,0,0,0,0,0
1/5/2023 21:00,B_1,Cell0,0.0592,0,0,0,0,0,0
1/5/2023 23:00,B_1,Cell0,0.15165,0,0,0,0,0,0
1/6/2023 0:00,B_1,Cell0,0.03928,0,0,0,0,0,0
1/6/2023 3:00,B_1,Cell0,0.01345,0,0,0,0,0,0
1/6/2023 4:00,B_1,Cell0,0.01625,0,0,0,0,0,0
1/6/2023 5:00,B_1,Cell0,0.01015,0,0,0,0,0,0
1/6/2023 6:00,B_1,Cell0,0.01022,0,0,0,0,0,0
1/6/2023 7:00,B_1,Cell0,0.02919,0,0,0,0,0,0
1/6/2023 9:00,B_1,Cell0,0.06113,0,0,0,0,0,0
1/6/2023 10:00,B_1,Cell0,0.02686,0,0,0,0,0,0
1/6/2023 11:00,B_1,Cell0,0.02144,0,0,0,0,0,0
1/6/2023 15:00,B_1,Cell0,0.02903,0,0,0,0,0,0
1/6/2023 16:00,B_1,Cell0,0.0571,0,0,0,0,0,0
1/6/2023 17:00,B_1,Cell0,0.02914,0,0,0,0,0,0
1/6/2023 18:00,B_1,Cell0,0.03079,0,0,0,0,0,0
1/6/2023 19:00,B_1,Cell0,0.03374,0,0,0,0,0,0
1/6/2023 20:00,B_1,Cell0,0.04326,0,0,0,0,0,0
1/6/2023 22:00,B_1,Cell0,0.03475,0,0,0,0,0,0
1/7/2023 6:00,B_1,Cell0,0.01113,0,0,0,0,0,0
1/7/2023 9:00,B_1,Cell0,0.05049,0,0,0,0,0,0
1/7/2023 10:00,B_1,Cell0,0.05172,0,0,0,0,0,0
1/7/2023 15:00,B_1,Cell0,0.0345,0,0,0,0,0,0
